epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2467.96,1.50415,1.56082,1.19097,0.65193,0.42549,0.45362,0.26856,1.3577,1.24304,1.11371,0.000665185,0.000665185,0.000665185
2,4942.66,1.42262,1.21662,1.14332,0.64592,0.41441,0.45409,0.27289,1.39532,1.27023,1.13133,0.00130548,0.00130548,0.00130548
3,7472.72,1.41047,1.172,1.14268,0.66319,0.44218,0.48584,0.30027,1.29633,1.1353,1.09645,0.00191938,0.00191938,0.00191938
4,9999.98,1.38074,1.11914,1.12877,0.67849,0.45149,0.49991,0.30739,1.28374,1.07216,1.07081,0.0018812,0.0018812,0.0018812
