epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.20883,0,75.46,0,0,0,0,0,0,162.17,0,2e-05,2e-05,2e-05
2,13.8186,0,75.0265,0,0,0,0,0,0,162.45,0,5.8812e-05,5.8812e-05,5.8812e-05
3,20.5504,0,74.0491,0,0,0,0,0,0,162.745,0,9.604e-05,9.604e-05,9.604e-05
4,27.2227,0,73.1816,0,0,0,0,0,0,162.911,0,0.000131684,0.000131684,0.000131684
5,33.9764,0,72.3814,0,0,0,0,0,0,163.171,0,0.000165744,0.000165744,0.000165744
6,40.6772,0,71.4589,0,0,0,0,0,0,163.642,0,0.00019822,0.00019822,0.00019822
7,47.5008,0,70.2602,0,0,0,0,0,0,164.118,0,0.000229112,0.000229112,0.000229112
8,54.2822,0,68.8974,0,0,0,0,0,0,164.309,0,0.00025842,0.00025842,0.00025842
9,61.0318,0,67.0153,0,0,0,0,0,0,164.35,0,0.000286144,0.000286144,0.000286144
